 ,Length
1,80.441
2,66.133
3,61.408
4,79.371
5,62.817
6,73.926
7,69.609
8,71.090
9,85.907
10,59.554
11,69.564
12,56.305
13,69.406
14,68.247
15,48.058
16,70.073
17,87.287
18,42.218
19,60.634
20,80.238
21,65.385
22,73.910
23,36.732
24,59.143
25,34.112
26,81.570
27,82.094
28,78.554
29,57.015
30,71.144
31,68.440
32,59.763
33,80.522
34,70.006
35,65.952
36,74.597
37,76.571
38,70.823
39,73.853
40,71.172
41,48.531
42,75.121
43,50.660
44,82.623
45,55.959
46,69.215
47,58.708
48,59.918
49,79.972
50,82.492
51,65.213
52,79.856
53,56.316
54,57.720
55,74.930
56,58.116
57,88.123
58,78.972
59,53.108
60,67.463
61,25.564
62,64.481
63,68.557
64,75.035
65,65.230
66,60.087
67,59.185
68,54.232
69,81.774
70,79.459
71,63.938
72,47.338
73,66.898
74,72.498
75,66.374
76,51.407
77,66.714
78,67.211
79,59.609
80,45.943
81,53.859
82,76.168
83,56.990
84,69.260
85,71.532
86,72.061
87,72.669
88,65.819
89,70.027
90,44.808
91,69.246
92,70.962
93,69.350
94,70.663
95,68.202
96,72.657
97,59.629
98,48.112
99,62.984
100,64.944
101,43.164
102,24.735
103,61.798
104,55.226
105,64.293
106,47.744
107,51.984
108,69.347
109,9.638
110,64.559
111,45.631
112,52.457
113,50.323
114,63.800
115,58.050
116,59.720
117,53.367
118,63.362
119,38.562
120,52.657
