 ,Length
1,110.193
2,89.893
3,98.529
4,87.987
5,77.426
6,78.132
7,103.999
8,84.808
9,98.209
10,87.630
11,47.531
12,107.167
13,71.549
14,111.034
15,87.138
16,87.636
17,103.167
18,97.855
19,95.205
20,101.834
21,85.243
22,99.139
23,69.248
24,65.737
25,99.409
26,81.423
27,83.498
28,109.909
29,78.805
30,78.037
31,62.463
32,88.697
33,85.891
34,114.140
35,84.537
36,NA
37,72.526
38,76.633
39,122.267
40,97.453
41,104.463
42,76.710
43,85.279
44,48.569
45,39.824
46,37.345
47,34.309
48,21.733
49,21.114
50,84.412
51,69.159
52,104.641
53,90.891
54,75.810
55,94.580
56,97.455
57,64.004
58,69.835
59,83.533
60,93.266
61,37.621
62,70.643
63,47.894
64,70.744
65,82.742
66,86.454
67,69.784
68,76.234
69,93.443
70,61.256
71,92.763
72,59.223
73,30.501
74,84.053
75,65.365
76,45.285
77,63.584
78,64.902
79,79.851
80,84.323
81,80.254
82,60.040
83,53.186
84,23.996
85,78.705
86,49.827
87,67.039
88,57.778
89,80.202
90,72.292
91,54.122
92,74.416
93,67.488
94,69.277
95,31.554
96,60.585
97,9.233
98,64.356
99,68.053
100,76.312
101,76.449
102,56.101
103,47.917
104,53.426
105,54.137
106,74.663
107,30.702
108,NA
109,63.875
110,88.516
111,71.129
112,41.082
113,78.246
114,44.838
115,85.017
116,85.349
117,50.781
118,64.969
119,60.751
120,23.453
