 ,Length
1,72.186
2,51.770
3,75.210
4,67.336
5,59.582
6,56.801
7,60.515
8,51.869
9,61.968
10,39.998
11,29.541
12,51.660
13,65.079
14,35.150
15,65.821
16,61.557
17,71.152
18,61.770
19,71.766
20,63.068
21,45.212
22,49.617
23,40.678
24,34.796
25,77.477
26,49.582
27,56.150
28,54.934
29,38.794
30,41.103
31,46.684
32,53.552
33,61.435
34,62.905
35,60.240
36,NA
37,51.360
38,52.413
39,72.740
40,46.309
41,62.807
42,60.634
43,56.677
44,32.801
45,25.285
46,25.885
47,25.098
48,24.022
49,15.357
50,67.915
51,54.639
52,59.347
53,50.872
54,42.060
55,46.555
56,60.800
57,40.684
58,48.936
59,43.678
60,56.529
61,18.718
62,49.707
63,28.942
64,50.934
65,46.542
66,51.143
67,53.321
68,52.358
69,53.337
70,44.121
71,56.508
72,41.301
73,58.916
74,40.310
75,58.008
76,75.863
77,59.338
78,35.382
79,42.512
80,58.228
81,51.218
82,39.758
83,29.738
84,16.257
85,66.405
86,51.878
87,64.175
88,48.161
89,66.621
90,29.065
91,48.477
92,45.055
93,67.308
94,28.804
95,36.555
96,34.576
97,12.771
98,63.861
99,32.981
100,45.011
101,28.013
102,50.399
103,40.252
104,47.604
105,29.424
106,29.223
107,37.906
108,NA
109,62.674
110,45.252
111,43.037
112,62.180
113,33.209
114,52.309
115,54.611
116,58.718
117,50.738
118,28.411
119,26.194
120,12.372
