# INaturalist Research-grade observations of plants in the Holosiiv forest area (aprox.), as of 13.03.2024
# GBIF.org (13 March 2024) GBIF Occurrence Download https://doi.org/10.15468/dl.7nrymj
#---------------------------------------------------------------------------------------------------------
gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4535947833	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200865100	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Rabelera	Rabelera holostea		SPECIES	Rabelera holostea (L.) M.T.Sharples & E.A.Tripp	Rabelera holostea		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.381644	30.505304	5.0						2024-02-29T11:30	29	2	2024	11071158	11071158	HUMAN_OBSERVATION	iNaturalist	Observations	200865100		Andrii Churilov	2024-03-01T00:54:43	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T21:53:44.726Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4535944050	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200916347	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Chelidonium	Chelidonium majus		SPECIES	Chelidonium majus L.	Chelidonium majus		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.355698	30.494957	2.0						2024-03-01T16:06	1	3	2024	5334186	5334186	HUMAN_OBSERVATION	iNaturalist	Observations	200916347		Ihor Olshanskyi	2024-03-01T16:23:56	CC_BY_NC_4_0	Ihor Olshanskyi	Ihor Olshanskyi			2024-03-08T21:01:35.796Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4535943028	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200916345	Plantae	Tracheophyta	Magnoliopsida	Piperales	Aristolochiaceae	Asarum	Asarum europaeum		SPECIES	Asarum europaeum L.	Asarum europaeum		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.356981	30.495537	2.0						2024-03-01T16:05	1	3	2024	7313595	7313595	HUMAN_OBSERVATION	iNaturalist	Observations	200916345		Ihor Olshanskyi	2024-03-01T16:23:56	CC_BY_NC_4_0	Ihor Olshanskyi	Ihor Olshanskyi			2024-03-08T22:04:11.863Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4535900921	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200916349	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ficaria	Ficaria verna		SPECIES	Ficaria verna Huds.	Ficaria verna		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.356449	30.495799	2.0						2024-03-01T16:06	1	3	2024	9094061	9094061	HUMAN_OBSERVATION	iNaturalist	Observations	200916349		Ihor Olshanskyi	2024-03-01T16:23:58	CC_BY_NC_4_0	Ihor Olshanskyi	Ihor Olshanskyi			2024-03-08T20:43:40.312Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528318211	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200562133	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Chelidonium	Chelidonium majus		SPECIES	Chelidonium majus L.	Chelidonium majus		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.380074	30.496394	5.0						2024-02-23T16:20	23	2	2024	5334186	5334186	HUMAN_OBSERVATION	iNaturalist	Observations	200562133		Andrii Churilov	2024-02-26T22:53:17	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T22:06:18.498Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528314207	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200562135	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Moehringia	Moehringia trinervia		SPECIES	Moehringia trinervia (L.) Clairv.	Moehringia trinervia		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.378139	30.497165	5.0						2024-02-23T16:43	23	2	2024	3085370	3085370	HUMAN_OBSERVATION	iNaturalist	Observations	200562135		Andrii Churilov	2024-02-26T22:53:18	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T22:03:44.798Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528312211	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200562141	Plantae	Tracheophyta	Magnoliopsida	Santalales	Viscaceae	Viscum	Viscum album	album	SUBSPECIES	Viscum album subsp. album	Viscum album album		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.379424	30.499381	5.0						2024-02-23T16:48	23	2	2024	7295709	2889828	HUMAN_OBSERVATION	iNaturalist	Observations	200562141		Andrii Churilov	2024-02-26T22:53:19	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T21:14:51.068Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528306179	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200562143	Plantae	Tracheophyta	Magnoliopsida	Piperales	Aristolochiaceae	Asarum	Asarum europaeum		SPECIES	Asarum europaeum L.	Asarum europaeum		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.381458	30.503909	5.0						2024-02-23T16:55	23	2	2024	7313595	7313595	HUMAN_OBSERVATION	iNaturalist	Observations	200562143		Andrii Churilov	2024-02-26T22:53:20	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T21:11:15.930Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528304205	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200562137	Plantae	Bryophyta	Bryopsida	Hypnales	Hypnaceae	Hypnum	Hypnum cupressiforme		SPECIES	Hypnum cupressiforme Hedw.	Hypnum cupressiforme		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.378441	30.497447	5.0						2024-02-23T16:43	23	2	2024	2681972	2681972	HUMAN_OBSERVATION	iNaturalist	Observations	200562137		Andrii Churilov	2024-02-26T22:53:18	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T21:00:23.813Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528289194	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200189497	Plantae	Tracheophyta	Magnoliopsida	Piperales	Aristolochiaceae	Asarum	Asarum europaeum		SPECIES	Asarum europaeum L.	Asarum europaeum		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.379754	30.499275	5.0						2024-02-22T14:34	22	2	2024	7313595	7313595	HUMAN_OBSERVATION	iNaturalist	Observations	200189497		Andrii Churilov	2024-02-23T15:48:06	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T21:00:02.474Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
