# List of species of animals and plants that are considered invasive on the territory of Ukraine
# this tsv file assembled from GBIF checklist dataset, see citation
# Marushchak O, Vasyliuk O, Prylutskyi O (2024). List of invasive flora and fauna species from the territory of Ukraine. Ukrainian Nature Conservation Group (NGO). Checklist dataset https://doi.org/10.15468/fq3pzj accessed via GBIF.org on 2024-03-27. 
# ----------------------------------------------------------------------------------
id	taxonID	vernacularName	scientificName	kingdom	phylum	class	order	family	taxonRank	source	language	countryCode
Invasive-species-UA-FAUNA:001	Invasive-species-UA-FAUNA:001	Черепаха червоновуха	Trachemys scripta (Thunberg In Schoepff, 1792)	Animalia	Chordata	Testudines	NA	Emydidae	species	NA	uk	UA
Invasive-species-UA-FAUNA:002	Invasive-species-UA-FAUNA:002	Ящірка стінна	Podarcis muralis (Laurenti, 1768)	Animalia	Chordata	Squamata	NA	Lacertidae	species	NA	uk	UA
Invasive-species-UA-FAUNA:003	Invasive-species-UA-FAUNA:003	Ящірка Даля	Darevskia dahli (Darevsky, 1957)	Animalia	Chordata	Squamata	NA	Lacertidae	species	NA	uk	UA
Invasive-species-UA-FAUNA:004	Invasive-species-UA-FAUNA:004	Ящірка вірменська	Darevskia armeniaca (Mehely, 1909)	Animalia	Chordata	Squamata	NA	Lacertidae	species	NA	uk	UA
Invasive-species-UA-FAUNA:005	Invasive-species-UA-FAUNA:005	Кріль дикий	Oryctolagus cuniculus (Linnaeus, 1758)	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	species	NA	uk	UA
Invasive-species-UA-FAUNA:006	Invasive-species-UA-FAUNA:006	Айлант найвищий	Ailanthus altissima (Mill.) Swingle	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindales	species	Наказ Міністерства захисту довкілля та природних ресурсів України від 3 квітня 2023 року №184 ""Про затвердження Переліку інвазійних видів дерев із значною здатністю до неконтрольованого поширення, заборонених до використання у процесі відтворення лісів""	uk	UA
Invasive-species-UA-FAUNA:007	Invasive-species-UA-FAUNA:007	Аралія маньчжурська	Aralia elata (Miq.) Seem.	Plantae	Tracheophyta	Magnoliopsida	Apiales	Araliaceae	species	Наказ Міністерства захисту довкілля та природних ресурсів України від 3 квітня 2023 року №184 ""Про затвердження Переліку інвазійних видів дерев із значною здатністю до неконтрольованого поширення, заборонених до використання у процесі відтворення лісів""	uk	UA
Invasive-species-UA-FAUNA:008	Invasive-species-UA-FAUNA:008	В'яз низький	Ulmus pumila L.	Plantae	Tracheophyta	Magnoliopsida	Rosales	Ulmaceae	species	Наказ Міністерства захисту довкілля та природних ресурсів України від 3 квітня 2023 року №184 ""Про затвердження Переліку інвазійних видів дерев із значною здатністю до неконтрольованого поширення, заборонених до використання у процесі відтворення лісів""	uk	UA
Invasive-species-UA-FAUNA:009	Invasive-species-UA-FAUNA:009	Гледичія колюча	Gleditsia triacanthos L.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	species	Наказ Міністерства захисту довкілля та природних ресурсів України від 3 квітня 2023 року №184 ""Про затвердження Переліку інвазійних видів дерев із значною здатністю до неконтрольованого поширення, заборонених до використання у процесі відтворення лісів""	uk	UA
Invasive-species-UA-FAUNA:010	Invasive-species-UA-FAUNA:010	Горіх чорний	Juglans nigra L.	Plantae	Tracheophyta	Magnoliopsida	Fagales	Juglandaceae	species	Наказ Міністерства захисту довкілля та природних ресурсів України від 3 квітня 2023 року №184 ""Про затвердження Переліку інвазійних видів дерев із значною здатністю до неконтрольованого поширення, заборонених до використання у процесі відтворення лісів""	uk	UA
