# List of algae, fungi, and plant species included into the Red Data Book of Ukraine
# this tsv file assembled from GBIF checklist dataset, see citation
# Prylutskyi O, Marushchak O, Vasyliuk O (2023). List of algae, fungi, and plant species included into the Red Data Book of Ukraine. Version 1.1. Ukrainian Nature Conservation Group (NGO). Checklist dataset https://doi.org/10.15468/x2knyk accessed via GBIF.org on 2024-03-13. 
# ----------------------------------------------------------------------------------
vernacularName	scientificName	kingdom	phylum	class	genus	taxonRank	threatStatus
Кладостефус жорстковолосистий	Cladostephus hirsutus (L.) C.-F. Boudouresque & M.Perret-Boudouresque	Chromista	Ochrophyta	Phaeophyceae	Cladostephus	species	рідкісний
Діктиота дихотомічна	Dictyota dichotoma (Huds.) J.V. Lamour.	Chromista	Ochrophyta	Phaeophyceae	Dictyota	species	вразливий
Ектокарпус стручкуватий	Ectocarpus siliculosus (Dillw.) Lyngb. var. hiemalis (P.Crouan & H.Crouan ex Kjellman) Gallardo  (Crouan ex Kjellm.) Gallardo	Chromista	Ochrophyta	Phaeophyceae	Ectocarpus	varietas	вразливий
Галоптеріс мітлоподібний	Halopteris scoparia (L.) Sauv	Chromista	Ochrophyta	Phaeophyceae	Halopteris	species	рідкісний
Планосифон зостеролистий	Planosiphon zosterifolius (Reinke) McDevit & G.W.Saunders	Chromista	Ochrophyta	Phaeophyceae	Planosiphon	species	вразливий
Пунктарія широколиста	Punctaria latifolia Grev.	Chromista	Ochrophyta	Phaeophyceae	Punctaria	species	рідкісний
Пунктарія хвиляста	Punctaria tenuissima (C. Agardh) Grev.	Chromista	Ochrophyta	Phaeophyceae	Punctaria	species	рідкісний
Пілайєла прибережна	Pylaiella littoralis (L.) Kjellm.	Chromista	Ochrophyta	Phaeophyceae	Pylaiella	species	рідкісний
Сперматохнус особливий	Spermatochnus paradoxus (Roth) Kutz.	Chromista	Ochrophyta	Phaeophyceae	Spermatochnus	species	вразливий
Сфацелярія карликова	Sphacelaria nana Nageli ex Kutz.	Chromista	Ochrophyta	Phaeophyceae	Sphacelaria	species	вразливий
Стилофора ніжна	Stilophora tenella (Esper) P.C. Silva	Chromista	Ochrophyta	Phaeophyceae	Stilophora	species	вразливий
Вошерія прибережна	Vaucheria litorea Hoffm.-Bang. & C. Agardh	Chromista	Ochrophyta	Xanthophyceae	Vaucheria	species	рідкісний
Роччела водоростеподібна	Roccella phycopsis (Ach.) Ach.	Fungi	Ascomycota	Arthoniomycetes	Roccella	species	рідкісний
Псороглена біаторова	Psoroglaena biatorella (Arnold) Lucking & Serus.	Fungi	Ascomycota	Eurotiomycetes	Psoroglaena	species	зникаючий
Агрестія щетиниста	Agrestia hispida (Mereschk.) Hale & W. Culb.	Fungi	Ascomycota	Lecanoromycetes	Agrestia	species	вразливий
Агрестія Зерова	Agrestia zerovii S. Y. Kondr., A. B. Gromakova & Khodos.	Fungi	Ascomycota	Lecanoromycetes	Agrestia	species	рідкісний
Алекторія паросткова	Alectoria sarmentosa (Ach.) Ach.	Fungi	Ascomycota	Lecanoromycetes	Alectoria	species	вразливий
Аллоцетрарія мадрепорова	Allocetraria madreporiformis (Ach.) Karnefelt & A. Thell	Fungi	Ascomycota	Lecanoromycetes	Allocetraria	species	рідкісний
Аллоцетрарія Океза	Allocetraria oakesiana (Tuck.) Randlane & Thell	Fungi	Ascomycota	Lecanoromycetes	Allocetraria	species	рідкісний
Цірцінарія кущиста	Aspicilia fruticulosa (Eversm.) Flagey	Fungi	Ascomycota	Lecanoromycetes	Aspicilia	species	вразливий
Цірцінарія блукаюча	Circinaria fruticulosa (Eversm.) Sohrabi	Fungi	Ascomycota	Lecanoromycetes	Circinaria	species	зникаючий
Цірцінарія гірозна	Circinaria gyrosa Sohrabi, Sipman, V. John & V.J. Rico	Fungi	Ascomycota	Lecanoromycetes	Circinaria	species	вразливий
Кладонія зірчаста	Cladonia stellaris (Opiz.) Pouzar & Vezda	Fungi	Ascomycota	Lecanoromycetes	Cladonia	species	рідкісний
Доліхоуснея найдовша	Dolichousnea longissima (Ach.) Articus	Fungi	Ascomycota	Lecanoromycetes	Dolichousnea	species	вразливий
Фульгензія пустельна	Fulgensia desertorum (Tomin) Poelt	Fungi	Ascomycota	Lecanoromycetes	Fulgensia	species	зникаючий
Гіалекта геркулінська	Gyalecta herculina (Rehm) Baloch, Lumbsch & Wedin	Fungi	Ascomycota	Lecanoromycetes	Gyalecta	species	вразливий
Гіалекта стовбурова	Gyalecta truncigena (Ach.) Hepp	Fungi	Ascomycota	Lecanoromycetes	Gyalecta	species	рідкісний
Гіалекта берестова	Gyalecta ulmi (Sw.) Zahlnr. in Engler.	Fungi	Ascomycota	Lecanoromycetes	Gyalecta	species	рідкісний
Гетеродермія прекрасна	Heterodermia speciosa (Wulf.) Trev.	Fungi	Ascomycota	Lecanoromycetes	Heterodermia	species	рідкісний
Гіпотрахіна відігнута	Hypotrachina revoluta (Florke)	Fungi	Ascomycota	Lecanoromycetes	Hypotrachina	species	зникаючий
Ласалія пухирчаста	Lasallia pustulata (L.) Merat	Fungi	Ascomycota	Lecanoromycetes	Lasallia	species	рідкісний
Ласалія російська	Lasallia rossica Dombr.	Fungi	Ascomycota	Lecanoromycetes	Lasallia	species	рідкісний
Лептогіум насічений	Leptogium saturninum (Dicks.) Nyl.	Fungi	Ascomycota	Lecanoromycetes	Leptogium	species	вразливий
Летарієла переплутана	Lethariella intricata (Moris) Krog	Fungi	Ascomycota	Lecanoromycetes	Lethariella	species	зникаючий
Лобарія легеневоподібна	Lobaria pulmonaria (L.) Hoffm.	Fungi	Ascomycota	Lecanoromycetes	Lobaria	species	вразливий
Меланохалеа елегантна	Melanohalea elegantula (Zahlbr.) O. Blanco & Al.	Fungi	Ascomycota	Lecanoromycetes	Melanohalea	species	рідкісний
Нефрома рівна	Nephroma parile Ach.	Fungi	Ascomycota	Lecanoromycetes	Nephroma	species	вразливий
Нефрома загорнута	Nephroma resupinatum (L.) Ach.	Fungi	Ascomycota	Lecanoromycetes	Nephroma	species	вразливий
Паннарія шерстиста	Pannaria conoplea (Pers.) Bory	Fungi	Ascomycota	Lecanoromycetes	Pannaria	species	вразливий
Пармелієла щетинистолиста	Parmeliella triptophylla (Ach.) Mull. Arg.	Fungi	Ascomycota	Lecanoromycetes	Parmeliella	species	рідкісний
Пармотрема перлинова	Parmotrema perlatum (Huds.) M. Choisy	Fungi	Ascomycota	Lecanoromycetes	Parmotrema	species	рідкісний
Полізосія Реутера	Polyzosia reuteri (Schaer.) S.Y. Kondr., L. Lokos & Farkas	Fungi	Ascomycota	Lecanoromycetes	Polyzosia	species	рідкісний
Псора обманлива	Psora decipiens (Hedw.) Hoffm.	Fungi	Ascomycota	Lecanoromycetes	Psora	species	вразливий
Рамаліна канарська	Ramalina canariensis J. Steiner	Fungi	Ascomycota	Lecanoromycetes	Ramalina	species	рідкісний
Рамаліна рвана	Ramalina lacera (With.) J.R. Laundon	Fungi	Ascomycota	Lecanoromycetes	Ramalina	species	рідкісний
