 ,Length
1,61.113
2,75.154
3,71.705
4,106.015
5,89.485
6,62.190
7,70.651
8,73.286
9,47.805
10,85.141
11,64.623
12,44.070
13,60.796
14,74.501
15,90.215
16,68.977
17,72.081
18,40.876
19,25.465
20,55.295
21,82.575
22,49.857
23,16.044
24,22.896
25,46.871
26,32.056
27,47.786
28,54.547
29,78.608
30,67.915
31,108.514
32,55.726
33,24.123
34,92.684
35,53.584
36,31.488
37,119.249
38,76.281
39,64.849
40,47.226
41,72.888
42,89.108
43,8.493
44,76.188
45,98.087
46,57.937
47,57.669
48,44.722
49,56.639
50,40.575
51,54.372
52,94.628
53,80.829
54,63.445
55,48.400
56,115.815
57,102.674
58,70.779
59,61.990
60,66.447
61,58.948
62,48.068
63,66.424
64,80.850
65,38.362
66,50.332
67,67.821
68,85.282
69,69.907
70,41.227
71,70.402
72,30.328
73,19.590
74,58.194
75,51.596
76,68.952
77,72.229
78,23.474
79,27.918
80,62.546
81,48.933
82,66.380
83,23.076
84,45.577
85,68.487
86,66.495
87,61.095
88,26.858
89,67.338
90,17.334
91,29.315
92,49.464
93,63.884
94,32.302
95,19.549
96,37.447
97,61.684
98,34.891
99,60.568
100,40.852
101,53.753
102,70.121
103,64.456
104,46.913
105,59.582
106,57.391
107,53.462
108,27.753
109,39.539
110,51.192
111,76.785
112,61.468
113,39.084
114,43.846
115,60.877
116,35.532
117,10.131
118,31.255
119,55.362
120,NA
