 ,Length
1,30.677
2,28.217
3,54.745
4,45.343
5,46.119
6,51.254
7,40.139
8,37.682
9,31.946
10,44.977
11,24.360
12,31.893
13,39.742
14,51.918
15,43.222
16,35.339
17,56.031
18,25.608
19,24.753
20,41.276
21,55.936
22,45.401
23,20.901
24,11.279
25,25.687
26,26.463
27,35.032
28,42.587
29,36.395
30,42.586
31,63.756
32,23.187
33,24.198
34,41.746
35,38.130
36,35.623
37,53.901
38,49.211
39,44.383
40,31.450
41,55.820
42,37.848
43,20.730
44,59.331
45,40.381
46,32.327
47,40.480
48,8.055
49,33.517
50,19.747
51,32.093
52,30.586
53,55.120
54,33.651
55,26.877
56,61.461
57,36.960
58,37.126
59,55.966
60,43.890
61,14.462
62,41.313
63,49.922
64,67.652
65,25.775
66,31.476
67,39.725
68,41.501
69,37.736
70,32.554
71,34.668
72,7.502
73,31.437
74,35.787
75,46.432
76,36.023
77,44.107
78,42.585
79,29.239
80,38.023
81,32.625
82,50.969
83,18.439
84,33.443
85,34.925
86,34.140
87,36.131
88,32.293
89,52.499
90,28.903
91,18.017
92,35.020
93,42.133
94,46.947
95,26.400
96,37.433
97,44.964
98,39.662
99,56.585
100,46.948
101,47.484
102,44.566
103,55.810
104,37.832
105,47.393
106,38.646
107,46.136
108,30.849
109,50.264
110,52.167
111,40.058
112,59.924
113,45.496
114,37.428
115,38.193
116,33.559
117,15.447
118,10.002
119,24.209
120,NA
